Name,Age,Nationality
Suso,24,Spain
J. Draxler,24,Germany
Felipe Anderson,25,Brazil
Lucas Moura,25,Brazil
Danilo Pereira,26,Portugal
Nacho Fernández,28,Spain
T. Horn,25,Germany
Allan,27,Brazil
F. Acerbi,30,Italy
Sergi Roberto,26,Spain
Rodrigo,27,Spain
Pizzi,28,Portugal
K. Kampl,27,Slovenia
Neto,28,Brazil
O. Baumann,28,Germany
I. Gueye,28,Senegal
H. Mkhitaryan,29,Armenia
Marcos Alonso,27,Spain
D. Subašić,33,Croatia
K. Glik,30,Poland
K. Strootman,28,Netherlands
B. Dost,29,Netherlands
Oscar,26,Brazil
M. Balotelli,27,Italy
Luiz Gustavo,30,Brazil
Giuliano,28,Brazil
David Luiz,31,Brazil
R. Fährmann,29,Germany
Juan Mata,30,Spain
Adán,31,Spain
Rui Patrício,30,Portugal
Y. Sommer,29,Switzerland
Javi Martínez,29,Spain
L. Bender,29,Germany
Lucas Leiva,31,Brazil
S. Mandanda,33,France
Cesc Fàbregas,31,Spain
M. Dembélé,30,Belgium
F. Ribéry,35,France
R. Jarstein,33,Norway
D. De Rossi,34,Italy
Pepe Reina,35,Spain
J. Pavlenka,26,Czech Republic
M. de Ligt,18,Netherlands
Rodri,22,Spain
Arthur,21,Brazil
G. Donnarumma,19,Italy
Rosberto Dourado,30,Brazil
Juiano Mestres,34,Brazil
Raphaelito Anjos,30,Brazil
Gelson Martins,23,Portugal
Gonçalo Guedes,21,Portugal
L. Torreira,22,Uruguay
Malcom,21,Brazil
Pau López,23,Spain
L. Hernández,22,France
C. Lenglet,23,France
A. Kramarić,27,Croatia
A. Robertson,24,Scotland
Dani García,28,Spain
F. Bernardeschi,24,Italy
J. Brandt,22,Germany
D. Rugani,23,Italy
Samu Castillejo,23,Spain
João Cancelo,24,Portugal
A. Romagnoli,23,Italy
T. Partey,25,Ghana
Fred,25,Brazil
J. Vardy,31,England
A. Belotti,24,Italy
E. Forsberg,26,Sweden
J. Lingard,25,England
F. Vázquez,29,Argentina
E. Višća,28,Bosnia Herzegovina
A. Rüdiger,25,Germany
A. Florenzi,27,Italy
H. Maguire,25,England
T. Meunier,26,Belgium
S. Sané,27,Senegal
G. Kondogbia,25,Central African Rep.
Rafinha,25,Brazil
Gabriel Paulista,27,Brazil
Morata,25,Spain
J. Cillessen,29,Netherlands
W. Ben Yedder,27,France
C. Bakambu,27,DR Congo
Pablo Sarabia,26,Spain
W. Zaha,25,Ivory Coast
Luis Alberto,25,Spain
Jonathan Viera,28,Spain
Bartra,27,Spain
S. Coates,27,Uruguay
Willian José,26,Brazil
Mário Fernandes,27,Russia
Víctor Ruiz,29,Spain
T. Delaney,26,Denmark
K. Casteels,26,Belgium
M. Götze,26,Germany
S. Mustafi,26,Germany
J. Pastore,29,Argentina
Pedro,30,Spain
G. Bonaventura,28,Italy
R. Bürki,27,Switzerland
Taison,30,Brazil
S. Nzonzi,29,France
Marlos,30,Ukraine
A. Ramsey,27,Wales
K. Trippier,27,England
A. Kolarov,32,Serbia
G. Sigurðsson,28,Iceland
S. Giovinco,31,Italy
M. Arnautović,29,Austria
N. Gaitán,30,Argentina
J. Henderson,28,England
M. Kruse,30,Germany
M. Parolo,33,Italy
L. Fejsa,29,Serbia
A. Rami,32,France
V. Ćorluka,32,Croatia
G. Wijnaldum,27,Netherlands
F. Fazio,31,Argentina
O. Giroud,31,France
Marcano,31,Spain
A. Guardado,31,Mexico
E. Garay,31,Argentina
Jardel,32,Brazil
S. Sirigu,31,Italy
E. Viviano,32,Italy
L. Koscielny,32,France
A. Consigli,31,Italy
L. Biglia,32,Argentina
Dani Alves,35,Brazil
David Villa,36,Spain
Aduriz,37,Spain
P. Čech,36,Czech Republic
Casillas,37,Spain
M. Rashford,20,England
Laure Santeiro,30,Brazil
L. Bailey,20,Jamaica
M. Akanji,22,Switzerland
F. de Jong,21,Netherlands
Nélson Semedo,24,Portugal
Pablo Fornals,22,Spain
Fabián,22,Spain
E. Bailly,24,Ivory Coast
Dani Ceballos,21,Spain
H. Lozano,22,Mexico
Morales,30,Spain
J. Seri,26,Ivory Coast
M. Politano,24,Italy
M. Brozović,25,Croatia
Williams,24,Spain
A. Correa,23,Argentina
A. Christensen,22,Denmark
João Mário,25,Portugal
T. Strakosha,23,Albania
E. Hysaj,24,Albania
P. Zieliński,24,Poland
Ricardo Pereira,24,Portugal
Grimaldo,22,Spain
R. Guerreiro,24,Portugal
A. Doucouré,25,France
J. Martínez,25,Venezuela
C. Bacca,31,Colombia
A. Plea,25,France
B. Davies,25,Wales
M. Nastasić,25,Serbia
A. Milik,24,Poland
M. Sabitzer,24,Austria
B. Mendy,23,France
C. Kramer,27,Germany
S. Vrsaljko,26,Croatia
T. Hazard,25,Belgium
K. Bellarabi,28,Germany
S. Zaza,27,Italy
F. Ghoulam,27,Algeria
B. Lecomte,27,France
J. Iličić,30,Slovenia
K. Volland,25,Germany
Paco Alcácer,24,Spain
Vitolo,28,Spain
G. Xhaka,25,Switzerland
D. Tadić,29,Serbia
C. Aránguiz,29,Chile
S. Verdi,25,Italy
D. Lovren,28,Croatia
G. Medel,30,Chile
X. Shaqiri,26,Switzerland
J. Corona,25,Mexico
A. Areola,25,France
K. Vogt,26,Germany
Ander Herrera,28,Spain
E. Salvio,27,Argentina
S. El Shaarawy,25,Italy
C. Smalling,28,England
Hulk,31,Brazil
S. Kagawa,29,Japan
M. Lanzini,25,Argentina
F. Smolov,28,Russia
L. Stindl,29,Germany
O. Toprak,28,Turkey
D. Perotti,29,Argentina
F. Muslera,32,Uruguay
B. Höwedes,30,Germany
S. Kjær,29,Denmark
S. Bender,29,Germany
M. Valbuena,33,France
Pedro León,31,Spain
K. Boateng,31,Ghana
L. Piszczek,33,Poland
A. Candreva,31,Italy
D. Wass,29,Denmark
E. Lamela,26,Argentina
D. Rose,27,England
C. Vela,29,Mexico
Renato Augusto,30,Brazil
A. Valencia,32,Ecuador
L. Fabiański,33,Poland
João Moutinho,31,Portugal
Borja Valero,33,Spain
F. Quagliarella,35,Italy
B. Gomis,32,France
Manuel Fernandes,32,Portugal
H. Herrera,28,Mexico
Raffael,33,Brazil
Nani,31,Portugal
J. Milner,32,England
J. Mathieu,34,France
Joaquín,36,Spain
M. Gómez,21,Uruguay
K. Havertz,19,Germany
T. Ndombele,21,France
H. Aouar,20,France
Carlos Soler,21,Spain
Odriozola,22,Spain
M. Almirón,24,Paraguay
Welington Dano,30,Brazil
Everton Andrão,34,Brazil
Oyarzabal,21,Spain
F. Balbuena,26,Paraguay
M. Marega,27,Mali
B. Pavard,22,France
W. Ndidi,21,Nigeria
A. Onana,22,Cameroon
G. Lo Celso,22,Argentina
M. Acuña,26,Argentina
Rúben Neves,21,Portugal
Mariano,24,Dominican Republic
Raúl,28,Brazil
M. Caldara,24,Italy
M. Vecino,26,Uruguay
T. Bakayoko,23,France
M. Dahoud,22,Germany
Rafa,25,Portugal
K. Baldé,23,Senegal
G. Rulli,26,Argentina
F. Armani,31,Argentina
Rony Lopes,22,Portugal
Santi Mina,22,Spain
K. Demirbay,24,Germany
Gayà,23,Spain
André Gomes,24,Portugal
N. Tagliafico,25,Argentina
M. Sanson,23,France
Pacheco,26,Spain
E. Can,24,Germany
H. Çalhanoğlu,24,Turkey
M. Ginter,24,Germany
M. Keane,25,England
L. Paredes,24,Argentina
T. Stepanenko,28,Ukraine
L. Shaw,22,England
Z. Feddal,28,Morocco
S. Haller,24,France
Bernard,25,Brazil
T. Inui,30,Japan
Portu,26,Spain
M. Batshuayi,24,Belgium
E. Zahavi,30,Israel
T. Vaclík,29,Czech Republic
N. Pope,26,England
Héctor Bellerín,23,Spain
P. Kadeřábek,26,Czech Republic
J. Butland,25,England
J. Vestergaard,25,Denmark
J. Tarkowski,25,England
Deulofeu,24,Spain
E. Dier,24,England
J. Murillo,26,Colombia
M. Badelj,29,Croatia
Ismaily,28,Brazil
N. Schulz,25,Germany
L. Digne,24,France
M. Uth,26,Germany
Cristian Tello,26,Spain
D. Vida,29,Croatia
L. Muriel,27,Colombia
V. Aboubakar,26,Cameroon
A. Oxlade-Chamberlain,24,England
S. Aurier,25,Ivory Coast
J. Matip,26,Cameroon
Y. Rakitskyi,28,Ukraine
Sergi Enrich,28,Spain
A. Yarmolenko,28,Ukraine
Hugo Mallo,27,Spain
André Almeida,27,Portugal
D. Didavi,28,Germany
R. Rodríguez,25,Switzerland
R. Pereyra,27,Argentina
Mario Gaspar,27,Spain
Maicon,29,Brazil
D. Blind,28,Netherlands
J. Zoet,27,Netherlands
A. Ljajić,26,Serbia
Canales,27,Spain
Iago Falqué,28,Spain
L. de Jong,27,Netherlands
Guaita,31,Spain
Muniain,25,Spain
Susaeta,30,Spain
S. Rudy,28,Germany
K. Trapp,27,Germany
V. Wanyama,27,Kenya
N. Nkoulou,28,Cameroon
R. Boudebouz,28,Algeria
Camacho,28,Spain
S. Ulreich,29,Germany
M. Musacchio,27,Argentina
C. Stuani,31,Uruguay
P. Gulácsi,28,Hungary
Bruno,34,Spain
F. Delph,28,England
A. Lallana,30,England
Marcelo,31,Brazil
S. Coleman,29,Republic of Ireland
Alexandre Pato,28,Brazil
Antunes,31,Portugal
Nacho Monreal,32,Spain
Beñat,31,Spain
A. Fernández,32,Argentina
K. Gameiro,31,France
I. Piatti,33,Argentina
V. Birsa,31,Slovenia
S. Romero,31,Argentina
D. Criscito,31,Italy
D. Valeri,32,Argentina
D. Sturridge,28,England
Raúl García,31,Spain
S. Defour,30,Belgium
M. Škrtel,33,Slovakia
S. Radu,31,Romania
G. Cahill,32,England
L. Diarra,33,France
L. Perrin,32,France
Dante,34,Brazil
A. Granqvist,33,Sweden
A. Gignac,32,France
M. Gómez,32,Germany
I. Akinfeev,32,Russia
I. Denisov,34,Russia
Juanfran,33,Spain
Diego López,36,Spain
Santi Cazorla,33,Spain
Jesús Navas,32,Spain
J. Mascherano,34,Argentina
A. Mirante,34,Italy
D. Srna,36,Croatia
B. Schweinsteiger,33,Germany
Moyá,34,Spain
W. Rooney,32,England
Fernando Torres,34,Spain
S. Sorrentino,39,Italy
V. Tsygankov,20,Ukraine
Rúben Dias,21,Portugal
David Neres,21,Brazil
Raphinha,21,Brazil
A. Harit,21,Morocco
Richarlison,21,Brazil
L. Martínez,20,Argentina
F. Kessié,21,Ivory Coast
Luimo Boas Santos,30,Brazil
Gabri Prestão,26,Brazil
Melvin Parrela,30,Brazil
Antônio Chiamuloira,30,Brazil
Maikel Catarino,34,Brazil
A. Lunev,26,Russia
André Silva,22,Portugal
C. Pulisic,19,United States
M. Dmitrović,26,Serbia
L. Tousart,21,France
Marcos Llorente,23,Spain
B. Verbič,24,Slovenia
S. Bergwijn,20,Netherlands
A. Diallo,22,France
A. Golovin,22,Russia
M. Campaña,29,Uruguay
C. Pavón,22,Argentina
K. Toko-Ekambi,25,Cameroon
Granell,29,Spain
F. Cervi,24,Argentina
J. Weigl,22,Germany
V. Lindelöf,23,Sweden
A. Rebić,24,Croatia
A. Sanabria,22,Paraguay
R. Battaglia,26,Argentina
M. Philipp,24,Germany
A. Saint-Maximin,21,France
D. Zappacosta,26,Italy
L. Alario,25,Argentina
D. Benedetto,28,Argentina
I. Marcone,28,Argentina
J. Gbamin,22,Ivory Coast
J. Lerma,23,Colombia
Ricardo Horta,23,Portugal
R. Zobnin,24,Russia
M. Meyer,22,Germany
Bruma,23,Portugal
R. Centurión,25,Argentina
Jonny,24,Spain
Otávio,23,Brazil
J. Hofmann,25,Germany
N. Aké,23,Netherlands
J. Hector,28,Germany
S. Kolašinac,25,Bosnia Herzegovina
G. Pizarro,28,Argentina
Roger,27,Spain
Sergio Rico,24,Spain
L. Milivojević,27,Serbia
D. Baselli,26,Italy
K. Rekik,23,Netherlands
Denis Suárez,24,Spain
W. Orban,25,Hungary
Mário Rui,27,Portugal
Iñigo Martínez,27,Spain
K. Zouma,23,France
Roque Mesa,29,Spain
J. Brooks,25,United States
L. Karius,25,Germany
Zé Luís,27,Cape Verde
D. Klaassen,25,Netherlands
M. Elyounoussi,23,Norway
L. Bittencourt,24,Germany
Sergi Darder,24,Spain
J. Roussillon,25,France
D. Demme,26,Germany
J. Gouweleeuw,26,Netherlands
M. Rojo,28,Argentina
J. Veretout,25,France
L. Kurzawa,25,France
G. Ramírez,27,Uruguay
David López,28,Spain
C. Tătăruşanu,32,Romania
A. Mandi,26,Algeria
D. Sidibé,25,France
Y. Konoplyanka,28,Ukraine
S. Berghuis,26,Netherlands
H. Vanaken,25,Belgium
Campaña,25,Spain
M. van Ginkel,25,Netherlands
Nolito,31,Spain
M. Gregoritsch,24,Austria
Ibai Gómez,28,Spain
Danilo,26,Brazil
R. Barkley,24,England
M. Ryan,26,Australia
Sergio León,29,Spain
B. Stambouli,27,France
J. Guilavogui,27,France
Sérgio Oliveira,26,Portugal
D. Caligiuri,30,Italy
C. Wilson,26,England
P. Jones,26,England
Borja García,27,Spain
Y. Belhanda,28,Morocco
G. Pezzella,27,Argentina
Jaume Costa,30,Spain
C. Tosun,27,Turkey
Escudero,28,Spain
Kike García,28,Spain
Elkeson,28,Brazil
Ricardo Goulart,27,Brazil
J. Guðmundsson,27,Iceland
N. Clyne,27,England
M. Hitz,30,Switzerland
De Marcos,29,Spain
B. Mee,28,England
Rafael,27,Brazil
Iborra,30,Spain
J. Wilshere,26,England
B. Hübner,28,Germany
Souza,29,Brazil
F. Coquelin,27,France
Alex Teixeira,28,Brazil
A. Dzagoev,28,Russia
I. Smolnikov,29,Russia
Y. M'Vila,28,France
K. Asamoah,29,Ghana
R. Zieler,29,Germany
D. Drinkwater,28,England
N. Kalinić,30,Croatia
Mariano,32,Brazil
S. Feghouli,28,Algeria
Adrien Silva,29,Portugal
Fernando,30,Brazil
I. Traoré,30,Guinea
G. Mercado,31,Argentina
N. Petersen,29,Germany
O. Karnezis,32,Greece
M. Sakho,28,France
Sidnei,28,Brazil
S. Jovetić,28,Montenegro
Eder,31,Italy
J. Hernández,30,Mexico
Fabricio,30,Spain
Kiko Casilla,31,Spain
Ángel,31,Spain
M. Schneiderlin,28,France
M. Fellaini,30,Belgium
P. Wernbloom,32,Sweden
D. Ospina,29,Colombia
S. Mignolet,30,Belgium
A. Begović,31,Bosnia Herzegovina
N. Şahin,29,Turkey
R. Bertrand,28,England
A. Masiello,32,Italy
T. Walcott,29,England
Charles,34,Brazil
T. Heaton,32,England
H. Ben Arfa,31,France
D. Abraham,31,Argentina
E. Lavezzi,33,Argentina
S. Kalou,32,Ivory Coast
J. Farfán,33,Peru
R. Babel,31,Netherlands
A. Young,32,England
J. Hart,31,England
L. López,35,Argentina
D. Baier,34,Germany
B. Yılmaz,32,Turkey
R. Adler,33,Germany
S. Lichtsteiner,34,Switzerland
E. Adebayor,34,Togo
E. Belözoğlu,37,Turkey
Loren,24,Spain
Éder Militão,20,Brazil
F. Chiesa,20,Italy
M. Lazzari,24,Italy
A. Hakimi,19,Morocco
S. Nakajima,23,Japan
L. Jović,20,Serbia
S. Ascacíbar,21,Argentina
A. Lafont,19,France
T. Alexander-Arnold,19,England
F. Krovinović,22,Croatia
Sidney Pessinho,26,Brazil
Everticinho,30,Brazil
Claudio Coíntra,34,Brazil
Ronaldo Esler,30,Brazil
P. Lees-Melou,25,France
B. Chilwell,21,England
João Novais,24,Portugal
D. Calabria,21,Italy
F. Mendy,23,France
L. Pellegrini,22,Italy
Soares,27,Brazil
Daniel Podence,22,Portugal
M. Díaz,32,Argentina
G. Martínez,25,Argentina
M. Eggestein,21,Germany
Trezeguet,23,Egypt
N. Amiri,21,Germany
Vallejo,21,Spain
J. Gomez,21,England
Diogo Jota,21,Portugal
Joan Jordán,23,Spain
Dyego Sousa,28,Brazil
A. Marušić,25,Montenegro
David Soria,25,Spain
V. Rongier,23,France
W. Weghorst,25,Netherlands
O. Al Soma,29,Syria
M. Nakamba,24,Zimbabwe
Petros,29,Brazil
Pablo Maffeo,20,Spain
Y. Mina,23,Colombia
M. Dúbravka,29,Slovakia
Diego Carlos,25,Brazil
D. Djené,26,Togo
G. Simeone,22,Argentina
M. Meza,25,Argentina
Bastos,26,Angola
S. Lobotka,23,Slovakia
Y. Tielemans,21,Belgium
Marcelo Goiano,30,Brazil
K. Tete,22,Netherlands
Capa,26,Spain
M. Sportiello,26,Italy
Jemerson,25,Brazil
N. Maksimović,26,Serbia
D. Zapata,27,Colombia
J. Correa,23,Argentina
E. Rigoni,25,Argentina
C. Izquierdoz,29,Argentina
W. Barrios,24,Colombia
J. Mojica,25,Colombia
A. Selikhov,24,Russia
A. Iwobi,22,Nigeria
D. Laxalt,25,Uruguay
N. Bentaleb,23,Algeria
N. Stark,23,Germany
M. Lemina,24,Gabon
L. Dendoncker,23,Belgium
Ricardo Esgaio,25,Portugal
P. Sisto,23,Denmark
P. Max,24,Germany
R. Gagliardini,24,Italy
Pere Pons,25,Spain
D. Berardi,23,Italy
M. Halstenberg,26,Germany
J. Quintero,25,Colombia
Tiago Volpi,27,Brazil
Óliver Torres,23,Spain
Omar Mascarell,25,Spain
H. Sakai,28,Japan
Andreas Pereira,22,Brazil
A. Januzaj,23,Belgium
B. Cristante,23,Italy
Matheus,25,Brazil
B. Traoré,22,Burkina Faso
Y. Poulsen,24,Denmark
L. Trossard,23,Belgium
M. Arnold,24,Germany
M. De Sciglio,25,Italy
Leo Baptistao,25,Brazil
V. Chiricheş,28,Romania
L. Pavoletti,29,Italy
A. Cragno,24,Italy
L. Castro,29,Argentina
N. Füllkrug,25,Germany
F. Fajr,29,Morocco
R. Jiménez,27,Mexico
E. Sala,27,Argentina
S. García,27,Uruguay
S. Arias,26,Colombia
B. Reynet,27,France
Pozuelo,26,Spain
A. Trebel,27,France
J. Lascelles,24,England
T. Kongolo,24,Netherlands
A. Carrillo,27,Peru
Álvaro,28,Spain
G. Defrel,27,France
Fernando,26,Brazil
V. Darida,27,Czech Republic
R. Saponara,26,Italy
Pedro Mendes,27,Portugal
C. Schindler,28,Germany
N. Chadli,28,Belgium
Arbilla,31,Spain
L. Dunk,26,England
P. Hernández,31,Chile
J. Guidetti,26,Sweden
Sergi Gómez,26,Spain
Oriol Romeu,26,Spain
Lucas Pérez,29,Spain
B. Natcho,30,Israel
Cláudio Ramos,26,Portugal
F. Lejeune,27,France
G. Krychowiak,28,Poland
N. Lodeiro,29,Uruguay
O. Özyakup,25,Turkey
C. Tévez,34,Argentina
K. Papadopoulos,26,Greece
M. Gradel,30,Ivory Coast
M. Debuchy,32,France
V. Moses,27,Nigeria
Z. Junuzović,30,Austria
Granero,30,Spain
J. Baumgartlinger,30,Austria
Fábio Coentrão,30,Portugal
B. Costil,30,France
Hilton,40,Brazil
N. Gudelj,26,Serbia
L. Pratto,30,Argentina
E. Hernández,30,Mexico
Jurado,32,Spain
R. Cabella,28,France
Rafael Tolói,27,Brazil
C. Bravo,35,Chile
Hernanes,33,Brazil
K. Honda,32,Japan
A. Dzyuba,29,Russia
J. Holebas,34,Greece
Javi García,31,Spain
Sergio,31,Spain
M. Cáceres,31,Uruguay
Daniel Carriço,29,Portugal
J. Cork,29,England
J. Tomkins,29,England
Guilherme,32,Russia
Gervinho,31,Ivory Coast
J. Shelvey,26,England
R. Eremenko,31,Finland
R. Vormer,30,Netherlands
J. Lens,30,Netherlands
Adriano,33,Brazil
S. Cook,27,England
L. Podolski,33,Germany
C. Ansaldi,31,Argentina
Manu García,32,Spain
R. Alessandrini,29,France
J. Ward-Prowse,23,England
M. Harnik,31,Austria
B. Moukandjo,29,Cameroon
G. Pereiro,23,Uruguay
G. Castro,31,Germany
Aarón Martín,21,Spain
F. Johnson,30,United States
L. López,28,Argentina
M. Dossevi,30,Togo
Caiuby,29,Brazil
Gabriel,24,Brazil
Iván Ramis,33,Spain
M. Suchý,30,Czech Republic
T. Vilhena,23,Netherlands
E. Çolak,27,Turkey
V. Germain,28,France
G. Hoarau,34,France
Sergio García,35,Spain
E. Choupo-Moting,29,Cameroon
J. Pinola,35,Argentina
J. Hendrix,23,Netherlands
J. Izquierdo,25,Colombia
S. Sydorchuk,27,Ukraine
C. Grenier,27,France
T. Strobl,28,Germany
V. Odjidja-Ofoe,29,Belgium
N. Guzmán,32,Argentina
F. Fabra,27,Colombia
J. Maddison,21,England
K. El Ahmadi,33,Morocco
M. Carcela-González,29,Morocco
M. Gabbiadini,26,Italy
Gomes,37,Brazil
M. Ritchie,28,Scotland
G. Bou,28,Argentina
Javi Fuego,34,Spain
E. Akbaba,25,Turkey
J. Amavi,24,France
R. Malinovskyi,25,Ukraine
D. Welbeck,27,England
G. Conti,23,Argentina
Bruno,28,Spain
Garry Rodrigues,27,Cape Verde
A. Schwolow,26,Germany
L. Cook,21,England
P. Pérez,32,Argentina
Gazzolisco,30,Brazil
Jonatan Soriano,32,Spain
Rubén Peña,26,Spain
Mikel San José,29,Spain
P. Groß,27,Germany
L. Baines,33,England
A. Ogbonna,30,Italy
Juan Jesus,27,Brazil
J. Martínez,31,Colombia
N. Elvedi,21,Switzerland
G. Moreno,32,Colombia
J. Valdivia,34,Chile
A. Carroll,29,England
Luís Neto,30,Portugal
A. Pyatov,34,Ukraine
T. Gutiérrez,33,Colombia
Álex Remiro,23,Spain
Wilson Eduardo,27,Portugal
Jorge Meré,21,Spain
M. Elneny,25,Egypt
D. Torres,28,Colombia
Y. Bounou,27,Morocco
A. Prijović,28,Serbia
A. Jahanbakhsh,24,Iran
J. Calleri,24,Argentina
Simão Acunha,30,Brazil
N. Müller,30,Germany
L. Ocampos,23,Argentina
J. Rodriguez,28,England
V. Ibišević,33,Bosnia Herzegovina
S. Rondón,28,Venezuela
Victor Sánchez,30,Spain
D. Suárez,30,Uruguay
K. Huntelaar,34,Netherlands
L. Dubois,23,France
André Pinto,28,Portugal
K. Lala,26,France
O. Kıvrak,30,Turkey
A. Bertolacci,27,Italy
E. Giaccherini,33,Italy
A. Živković,21,Serbia
R. Ábila,28,Argentina
P. Diop,32,Senegal
D. Garmash,28,Ukraine
T. Chandler,28,United States
R. Klavan,32,Estonia
A. Miranchuk,22,Russia
D. Da Silva,30,France
D. Benaglio,34,Switzerland
T. Rincón,30,Venezuela
M. Pereira,34,Uruguay
C. Borges,30,Costa Rica
J. Sand,37,Argentina
Markel Bergara,32,Spain
Vágner Love,34,Brazil
B. Bourigeaud,24,France
R. Soriano,27,Italy
D. Kuzyaev,25,Russia
R. Sambueza,34,Argentina
Montoya,27,Spain
A. Poli,28,Italy
C. Austin,28,England
L. Tonelli,28,Italy
M. Zárate,31,Argentina
J. Sancho,18,England
D. Basta,33,Serbia
Marçal,29,Brazil
Munir,22,Spain
G. Sio,29,Ivory Coast
J. McCarthy,27,Republic of Ireland
J. Aquino,28,Mexico
H. Pérez,29,Paraguay
Jô,31,Brazil
R. Gurtner,31,France
